2Theta	Intensity
32.500	70.69
32.550	72.80
32.600	66.08
32.650	72.16
32.700	64.41
32.750	72.38
32.800	69.54
32.850	71.11
32.900	64.23
32.950	65.40
33.000	71.41
33.050	65.27
33.100	70.96
33.150	63.69
33.200	72.60
33.250	64.33
33.300	71.52
33.350	71.87
33.400	66.63
33.450	71.81
33.500	70.58
33.550	67.45
33.600	65.64
33.650	61.89
33.700	71.21
33.750	63.63
33.800	70.35
33.850	69.00
33.900	72.86
33.950	69.02
34.000	69.01
34.050	73.36
34.100	71.88
34.150	71.92
34.200	72.65
34.250	64.76
34.300	74.07
34.350	73.63
34.400	67.27
34.450	70.53
34.500	71.53
34.550	71.34
34.600	73.42
34.650	78.03
34.700	76.87
34.750	67.56
34.800	75.58
34.850	78.71
34.900	75.28
34.950	78.47
35.000	82.57
35.050	79.07
35.100	76.47
35.150	80.21
35.200	77.24
35.250	77.46
35.300	76.76
35.350	85.32
35.400	76.83
35.450	87.43
35.500	84.68
35.550	78.69
35.600	87.66
35.650	80.04
35.700	93.64
35.750	97.97
35.800	96.13
35.850	104.19
35.900	118.48
35.950	118.63
36.000	131.87
36.050	167.16
36.100	210.20
36.150	267.13
36.200	366.07
36.250	493.55
36.300	632.75
36.350	774.72
36.400	866.71
36.450	853.54
36.500	742.69
36.550	590.01
36.600	458.06
36.650	330.20
36.700	244.98
36.750	190.34
36.800	159.32
36.850	134.68
36.900	119.36
36.950	110.62
37.000	102.59
37.050	99.84
37.100	83.69
37.150	89.54
37.200	89.16
37.250	81.47
37.300	85.84
37.350	81.96
37.400	88.51
37.450	86.66
37.500	77.53
37.550	77.95
37.600	77.51
37.650	75.35
37.700	77.36
37.750	73.03
37.800	71.08
37.850	77.68
37.900	77.34
37.950	71.27
38.000	77.77
38.050	71.39
38.100	74.68
38.150	76.72
38.200	73.10
38.250	74.87
38.300	70.81
38.350	71.93
38.400	71.75
38.450	69.46
38.500	71.61
38.550	66.01
38.600	70.14
38.650	70.87
38.700	70.90
38.750	70.88
38.800	71.53
38.850	73.62
38.900	75.14
38.950	68.99
39.000	66.72
39.050	67.32
39.100	69.50
39.150	70.00
39.200	68.29
39.250	66.16
39.300	69.49
39.350	72.02
39.400	73.65
39.450	69.02
39.500	69.59
39.550	67.52
39.600	71.10
39.650	67.82
39.700	73.51
39.750	64.07
39.800	69.78
39.850	72.43
39.900	71.97
39.950	82.02
40.000	72.66
40.050	67.27
40.100	70.93
40.150	64.23
40.200	71.05
40.250	68.07
40.300	75.11
40.350	69.29
40.400	71.07
40.450	69.05
40.500	78.61
40.550	70.44
40.600	79.14
40.650	75.15
40.700	73.91
40.750	73.57
40.800	73.79
40.850	64.63
40.900	71.37
40.950	76.03
41.000	72.64
41.050	67.42
41.100	73.07
41.150	80.36
41.200	78.83
41.250	73.94
41.300	78.39
41.350	73.58
41.400	68.77
41.450	72.52
41.500	83.22
41.550	76.76
41.600	77.96
41.650	79.06
41.700	89.54
41.750	90.59
41.800	95.95
41.850	90.87
41.900	99.74
41.950	104.05
42.000	134.73
42.050	152.80
42.100	198.67
42.150	244.34
42.200	301.66
42.250	346.28
42.300	363.55
42.350	341.64
42.400	293.15
42.450	243.38
42.500	186.14
42.550	153.00
42.600	130.09
42.650	105.80
42.700	94.30
42.750	89.73
42.800	91.22
42.850	84.46
42.900	79.49
42.950	81.95
43.000	74.32
43.050	80.40
43.100	78.44
43.150	74.85
43.200	72.10
43.250	71.38
43.300	76.62
43.350	79.00
43.400	71.19
43.450	75.28
43.500	64.83
43.550	70.61
43.600	72.61
43.650	68.91
43.700	68.64
43.750	69.56
43.800	73.27
43.850	71.22
43.900	62.91
43.950	63.28
44.000	69.24
44.050	73.41
44.100	60.51
44.150	69.43
44.200	69.26
44.250	76.86
44.300	69.71
44.350	72.73
44.400	71.71
44.450	62.58
44.500	74.13
44.550	71.88
44.600	73.01
44.650	86.65
44.700	62.58
44.750	77.78
44.800	69.70
44.850	71.97
44.900	70.62
44.950	69.08
45.000	68.47
45.050	72.05
45.100	64.64
45.150	73.69
45.200	69.01
45.250	66.13
45.300	68.84
45.350	75.65
45.400	68.47
45.450	72.03
45.500	67.66
45.550	73.60
45.600	73.30
45.650	77.94
45.700	69.83
45.750	73.19
45.800	70.90
45.850	75.68
45.900	67.61
45.950	73.46
46.000	69.69
46.050	70.20
46.100	70.82
46.150	71.45
46.200	69.97
46.250	71.29
46.300	76.73
46.350	74.36
46.400	73.88
46.450	68.58
46.500	66.84
46.550	74.21
46.600	73.88
46.650	76.27
46.700	67.95
46.750	69.44
46.800	63.80
46.850	68.78
46.900	74.33
46.950	68.47
47.000	72.90
47.050	69.57
47.100	71.62
47.150	65.73
47.200	70.66
47.250	58.35
47.300	69.56
47.350	63.78
47.400	75.12
47.450	73.40
47.500	72.16
47.550	76.37
47.600	66.48
47.650	77.26
47.700	74.00
47.750	69.32
47.800	74.81
47.850	65.83
47.900	66.96
47.950	67.82
48.000	68.13
48.050	66.02
48.100	75.13
48.150	69.20
48.200	71.64
48.250	67.94
48.300	62.94
48.350	71.30
48.400	62.57
48.450	69.94
48.500	64.73
48.550	78.15
48.600	73.84
48.650	70.62
48.700	75.25
48.750	66.80
48.800	72.36
48.850	70.98
48.900	71.23
48.950	75.26
49.000	73.10
49.050	71.32
49.100	63.54
49.150	66.31
49.200	69.66
49.250	70.52
49.300	65.62
49.350	79.78
49.400	76.20
49.450	72.54
49.500	70.41
49.550	69.27
49.600	66.31
49.650	70.42
49.700	71.14
49.750	65.14
49.800	71.44
49.850	69.47
49.900	62.46
49.950	66.65
50.000	68.43
50.050	77.63
50.100	72.30
50.150	64.73
50.200	72.01
50.250	63.87
50.300	74.39
50.350	68.17
50.400	69.67
50.450	75.34
50.500	64.89
50.550	64.44
50.600	67.69
50.650	74.18
50.700	63.94
50.750	58.68
50.800	68.20
50.850	72.21
50.900	74.80
50.950	68.14
51.000	68.34
51.050	74.60
51.100	62.50
51.150	68.42
51.200	70.73
51.250	71.76
51.300	67.92
51.350	70.09
51.400	59.99
51.450	67.31
51.500	71.75
51.550	66.00
51.600	70.16
51.650	71.71
51.700	68.54
51.750	70.59
51.800	66.05
51.850	69.07
51.900	72.33
51.950	70.51
52.000	67.53
52.050	70.77
52.100	72.73
52.150	61.66
52.200	74.49
52.250	68.50
52.300	71.54
52.350	74.63
52.400	64.34
52.450	66.99
52.500	68.66
52.550	66.68
52.600	76.75
52.650	66.37
52.700	67.57
52.750	70.60
52.800	64.97
52.850	68.19
52.900	71.04
52.950	68.43
53.000	69.38
53.050	67.63
53.100	63.68
53.150	71.02
53.200	76.75
53.250	69.80
53.300	70.62
53.350	72.48
53.400	64.62
53.450	76.50
53.500	70.50
53.550	76.21
53.600	66.74
53.650	76.94
53.700	72.76
53.750	71.86
53.800	70.58
53.850	68.64
53.900	74.43
53.950	70.19
54.000	61.75
54.050	65.14
54.100	68.86
54.150	70.84
54.200	69.36
54.250	74.46
54.300	61.77
54.350	70.14
54.400	62.29
54.450	72.59
54.500	69.17
54.550	71.21
54.600	66.07
54.650	74.64
54.700	73.68
54.750	71.84
54.800	68.98
54.850	71.81
54.900	66.65
54.950	72.90
55.000	76.06
55.050	73.74
55.100	66.53
55.150	70.89
55.200	64.26
55.250	71.72
55.300	71.22
55.350	61.93
55.400	64.76
55.450	68.26
55.500	68.18
55.550	64.54
55.600	70.93
55.650	70.37
55.700	68.58
55.750	66.33
55.800	73.54
55.850	75.95
55.900	67.39
55.950	66.87
56.000	71.27
56.050	67.87
56.100	68.74
56.150	72.24
56.200	61.64
56.250	74.54
56.300	69.55
56.350	67.61
56.400	68.89
56.450	69.09
56.500	62.31
56.550	75.20
56.600	69.38
56.650	70.98
56.700	73.01
56.750	65.11
56.800	71.08
56.850	68.11
56.900	72.56
56.950	60.66
57.000	68.76
57.050	66.74
57.100	70.87
57.150	71.02
57.200	66.30
57.250	66.28
57.300	68.68
57.350	65.52
57.400	72.47
57.450	67.62
57.500	57.47
57.550	67.59
57.600	64.93
57.650	62.55
57.700	64.12
57.750	69.51
57.800	74.38
57.850	70.31
57.900	66.63
57.950	70.87
58.000	67.21
58.050	66.27
58.100	64.42
58.150	62.03
58.200	67.48
58.250	69.67
58.300	68.65
58.350	67.37
58.400	65.25
58.450	71.47
58.500	63.77
58.550	72.14
58.600	65.03
58.650	66.04
58.700	63.18
58.750	67.05
58.800	72.96
58.850	71.13
58.900	72.99
58.950	71.18
59.000	64.69
59.050	67.79
59.100	66.01
59.150	74.47
59.200	64.38
59.250	72.76
59.300	72.78
59.350	76.55
59.400	67.63
59.450	72.15
59.500	78.46
59.550	66.90
59.600	63.28
59.650	61.95
59.700	72.38
59.750	62.06
59.800	68.17
59.850	71.49
59.900	70.57
59.950	71.63
60.000	70.92
60.050	75.28
60.100	66.49
60.150	67.76
60.200	67.56
60.250	74.18
60.300	74.71
60.350	73.19
60.400	76.45
60.450	67.39
60.500	79.22
60.550	79.18
60.600	76.68
60.650	81.65
60.700	68.86
60.750	74.61
60.800	75.36
60.850	83.40
60.900	79.62
60.950	92.13
61.000	103.26
61.050	114.58
61.100	134.31
61.150	159.16
61.200	197.24
61.250	245.88
61.300	276.39
61.350	283.39
61.400	264.13
61.450	221.66
61.500	185.17
61.550	161.38
61.600	121.07
61.650	107.78
61.700	98.72
61.750	82.09
61.800	83.20
61.850	83.25
61.900	77.51
61.950	87.44
62.000	68.12
62.050	78.09
62.100	72.39
62.150	75.52
62.200	73.66
62.250	68.50
62.300	71.95
62.350	63.26
62.400	72.80
62.450	71.31
62.500	72.44
62.550	73.91
62.600	70.96
62.650	69.92
62.700	65.65
62.750	66.19
62.800	73.66
62.850	74.54
62.900	67.73
62.950	68.77
63.000	64.88
63.050	73.10
63.100	70.99
63.150	76.02
63.200	64.68
63.250	66.61
63.300	68.99
63.350	70.59
63.400	67.08
63.450	64.40
63.500	71.37
63.550	70.68
63.600	64.08
63.650	73.12
63.700	72.34
63.750	68.15
63.800	67.89
63.850	69.75
63.900	64.05
63.950	67.58
64.000	58.82
64.050	70.90
64.100	61.11
64.150	73.34
64.200	65.97
64.250	66.41
64.300	64.72
64.350	66.05
64.400	72.84
64.450	57.19
64.500	72.22
64.550	68.44
64.600	62.23
64.650	62.73
64.700	73.71
64.750	63.19
64.800	62.33
64.850	71.47
64.900	68.25
64.950	63.12
65.000	67.71
65.050	62.72
65.100	71.20
65.150	71.01
65.200	68.87
65.250	68.17
65.300	73.74
65.350	66.67
65.400	61.92
65.450	68.42
65.500	74.94
65.550	62.52
65.600	65.11
65.650	68.20
65.700	66.29
65.750	62.55
65.800	70.95
65.850	75.72
65.900	67.20
65.950	62.78
66.000	60.17
66.050	67.38
66.100	70.74
66.150	68.20
66.200	66.27
66.250	63.90
66.300	61.87
66.350	69.55
66.400	69.84
66.450	59.98
66.500	72.50
66.550	68.42
66.600	71.70
66.650	60.71
66.700	60.59
66.750	65.44
66.800	68.02
66.850	73.18
66.900	68.79
66.950	64.98
67.000	61.82
67.050	70.82
67.100	62.02
67.150	72.37
67.200	64.70
67.250	72.18
67.300	68.51
67.350	65.22
67.400	63.67
67.450	64.36
67.500	67.42
67.550	65.99
67.600	63.29
67.650	64.98
67.700	65.93
67.750	57.08
67.800	67.41
67.850	61.63
67.900	60.92
67.950	58.76
68.000	58.31
68.050	60.04
68.100	62.61
68.150	73.23
68.200	63.29
68.250	66.09
68.300	66.96
68.350	65.86
68.400	65.00
68.450	60.51
68.500	71.07
68.550	72.47
68.600	58.49
68.650	61.11
68.700	64.06
68.750	61.30
68.800	67.16
68.850	62.20
68.900	73.75
68.950	69.83
69.000	65.90
69.050	69.13
69.100	69.43
69.150	62.73
69.200	61.70
69.250	65.25
69.300	68.36
69.350	65.45
69.400	58.57
69.450	61.64
69.500	64.54
69.550	64.51
69.600	72.68
69.650	59.22
69.700	66.77
69.750	70.68
69.800	73.79
69.850	63.06
69.900	66.63
69.950	66.92
70.000	65.40
70.050	64.20
70.100	66.32
70.150	54.42
70.200	67.26
70.250	65.02
70.300	63.60
70.350	72.66
70.400	61.75
70.450	62.82
70.500	72.38
70.550	61.06
70.600	62.17
70.650	63.76
70.700	67.69
70.750	65.14
70.800	59.12
70.850	62.14
70.900	61.82
70.950	63.93
71.000	65.92
71.050	65.87
71.100	57.08
71.150	68.42
71.200	65.16
71.250	69.67
71.300	65.89
71.350	68.51
71.400	65.95
71.450	69.46
71.500	66.15
71.550	63.66
71.600	73.13
71.650	67.58
71.700	66.31
71.750	58.91
71.800	58.85
71.850	65.17
71.900	64.58
71.950	61.54
72.000	64.56
72.050	70.36
72.100	66.79
72.150	59.45
72.200	63.59
72.250	60.83
72.300	62.52
72.350	62.45
72.400	62.23
72.450	59.17
72.500	63.73
72.550	62.07
72.600	52.67
72.650	72.70
72.700	68.97
72.750	63.26
72.800	65.02
72.850	60.49
72.900	72.25
72.950	73.43
73.000	66.97
73.050	71.16
73.100	68.89
73.150	64.67
73.200	71.39
73.250	78.38
73.300	83.19
73.350	93.83
73.400	105.94
73.450	117.55
73.500	125.88
73.550	121.57
73.600	115.34
73.650	101.53
73.700	98.88
73.750	76.71
73.800	82.43
73.850	78.42
73.900	68.54
73.950	57.42
74.000	65.19
74.050	65.59
74.100	61.25
74.150	62.80
74.200	70.65
74.250	66.90
74.300	60.31
74.350	57.42
74.400	62.33
74.450	62.64
74.500	65.34
74.550	61.10
74.600	65.19
74.650	70.79
74.700	66.22
74.750	62.69
74.800	62.08
74.850	61.32
74.900	67.41
74.950	60.12
75.000	62.76
75.050	62.73
75.100	60.47
75.150	56.95
75.200	63.69
75.250	62.11
75.300	64.32
75.350	60.15
75.400	67.13
75.450	58.71
75.500	69.03
75.550	55.16
75.600	63.87
75.650	64.00
75.700	58.89
75.750	63.75
75.800	67.15
75.850	53.15
75.900	64.01
75.950	52.01
76.000	58.11
76.050	68.48
76.100	59.63
76.150	57.25
76.200	61.16
76.250	70.22
76.300	54.63
76.350	57.77
76.400	67.98
76.450	69.45
76.500	61.64
76.550	57.14
76.600	70.54
76.650	68.61
76.700	65.03
76.750	59.18
76.800	62.37
76.850	62.10
76.900	64.29
76.950	69.05
77.000	67.15
77.050	59.86
77.100	70.49
77.150	67.56
77.200	71.23
77.250	77.89
77.300	73.01
77.350	84.96
77.400	92.61
77.450	98.89
77.500	115.08
77.550	126.66
77.600	104.89
77.650	102.87
77.700	95.07
77.750	83.64
77.800	75.44
77.850	65.62
77.900	68.46
77.950	62.47
78.000	55.49
78.050	68.22
78.100	66.71
78.150	62.67
78.200	63.05
78.250	66.16
78.300	62.53
78.350	65.05
78.400	60.08
78.450	66.37
78.500	62.28
78.550	61.66
78.600	55.69
78.650	61.83
78.700	57.27
78.750	57.96
78.800	57.18
78.850	56.11
78.900	68.81
78.950	65.57
79.000	67.87
79.050	55.24
79.100	60.36
79.150	54.85
79.200	57.19
79.250	56.26
79.300	64.84
79.350	58.25
79.400	64.07
79.450	62.17
79.500	68.93
79.550	53.75
79.600	64.67
79.650	64.18
79.700	55.66
79.750	63.54
79.800	60.82
79.850	58.53
79.900	56.11
79.950	56.49
80.000	67.53
